,City,County,Distance,Latitude,Longitude,State,Zip_Code
0,WEST JORDAN,SALT LAKE,2.08,40.595294,-111.962263,UT,84088
1,WEST JORDAN,SALT LAKE,2.16,40.599394,-112.041675,UT,84081
2,WEST JORDAN,SALT LAKE,2.4,40.625061,-111.966272,UT,84084
3,SOUTH JORDAN,SALT LAKE,3.12,40.55938,-111.982416,UT,84095
4,SALT LAKE CITY,SALT LAKE,3.22,40.640188,-112.036911,UT,84129
5,SOUTH JORDAN,SALT LAKE,3.36,40.555448,-112.018011,UT,84009
6,SALT LAKE CITY,SALT LAKE,3.57,40.652906,-112.015358,UT,84118
7,SALT LAKE CITY,SALT LAKE,5.76,40.658749,-111.919971,UT,84123
8,SANDY,SALT LAKE,5.83,40.576888,-111.895178,UT,84070
9,MIDVALE,SALT LAKE,6.14,40.61283,-111.884763,UT,84047
10,SANDY,SALT LAKE,6.36,40.5879,-111.8814,UT,84091
11,SANDY,SALT LAKE,6.4,40.5885,-111.8805,UT,84090
12,WEST VALLEY CITY,SALT LAKE,6.51,40.696749,-112.000932,UT,84120
13,WEST VALLEY CITY,SALT LAKE,6.89,40.696701,-112.043996,UT,84128
14,SALT LAKE CITY,SALT LAKE,7.16,40.656624,-111.884704,UT,84107
15,WEST VALLEY CITY,SALT LAKE,7.26,40.697198,-111.940701,UT,84119
16,SALT LAKE CITY,SALT LAKE,7.42,40.6666,-111.8875,UT,84157
17,SANDY,SALT LAKE,7.63,40.569222,-111.86246,UT,84094
18,HERRIMAN,SALT LAKE,8.24,40.489182,-112.050722,UT,84096
19,MAGNA,SALT LAKE,8.37,40.702898,-112.090014,UT,84044
20,BINGHAM CANYON,SALT LAKE,8.59,40.521326,-112.124604,UT,84006
21,RIVERTON,SALT LAKE,8.75,40.477432,-111.972526,UT,84065
22,SANDY,SALT LAKE,9.19,40.596974,-111.826214,UT,84093
23,SALT LAKE CITY,SALT LAKE,9.57,40.714178,-111.893089,UT,84115
